plate_well,primer_combi
GF_plate1_COL_1&2_L22,m727m63
GF_plate1_COL_1&2_M22,m727m74
GF_plate1_COL_1&2_N22,m727m75
GF_plate1_COL_1&2_O22,m727m86
GF_plate1_COL_1&2_P22,m727m87
GF_plate1_COL_1&2_A23,m728m2
GF_plate1_COL_1&2_B23,m728m3
GF_plate1_COL_1&2_C23,m728m14
GF_plate1_COL_1&2_D23,m728m15
GF_plate1_COL_1&2_E23,m728m26
GF_plate1_COL_1&2_F23,m728m27
GF_plate1_COL_1&2_G23,m728m38
GF_plate1_COL_1&2_H23,m728m39
GF_plate1_COL_1&2_I23,m728m50
GF_plate1_COL_1&2_J23,m728m51
GF_plate1_COL_1&2_K23,m728m62
GF_plate1_COL_1&2_L23,m728m63
GF_plate1_COL_1&2_M23,m728m74
GF_plate1_COL_1&2_N23,m728m75
GF_plate1_COL_1&2_O23,m728m86
GF_plate1_COL_1&2_P23,m728m87
GF_plate1_COL_1&2_A24,m729m2
GF_plate1_COL_1&2_B24,m729m3
GF_plate1_COL_1&2_C24,m729m14
GF_plate1_COL_1&2_D24,m729m15
GF_plate1_COL_1&2_E24,m729m26
GF_plate1_COL_1&2_F24,m729m27
GF_plate1_COL_1&2_G24,m729m38
GF_plate1_COL_1&2_H24,m729m39
GF_plate1_COL_1&2_I24,m729m50
GF_plate1_COL_1&2_J24,m729m51
GF_plate1_COL_1&2_K24,m729m62
GF_plate1_COL_1&2_L24,m729m63
GF_plate1_COL_1&2_M24,m729m74
GF_plate1_COL_1&2_N24,m729m75
GF_plate1_COL_1&2_O24,m729m86
GF_plate1_COL_1&2_P24,m729m87
GF_plate1_COL_3&4_A1,m701m4
GF_plate1_COL_3&4_B1,m701m5
GF_plate1_COL_3&4_C1,m701m16
GF_plate1_COL_3&4_D1,m701m17
GF_plate1_COL_3&4_E1,m701m28
GF_plate1_COL_3&4_F1,m701m29
GF_plate1_COL_3&4_G1,m701m40
GF_plate1_COL_3&4_H1,m701m41
GF_plate1_COL_3&4_I1,m701m52
GF_plate1_COL_3&4_J1,m701m53
GF_plate1_COL_3&4_K1,m701m64
GF_plate1_COL_3&4_L1,m701m65
GF_plate1_COL_3&4_M1,m701m76
GF_plate1_COL_3&4_N1,m701m77
GF_plate1_COL_3&4_O1,m701m88
GF_plate1_COL_3&4_P1,m701m89
GF_plate1_COL_3&4_A2,m702m4
GF_plate1_COL_3&4_B2,m702m5
GF_plate1_COL_3&4_C2,m702m16
GF_plate1_COL_3&4_D2,m702m17
GF_plate1_COL_3&4_E2,m702m28
GF_plate1_COL_3&4_F2,m702m29
GF_plate1_COL_3&4_G2,m702m40
GF_plate1_COL_3&4_H2,m702m41
GF_plate1_COL_3&4_I2,m702m52
GF_plate1_COL_3&4_J2,m702m53
GF_plate1_COL_3&4_K2,m702m64
GF_plate1_COL_3&4_L2,m702m65
GF_plate1_COL_3&4_M2,m702m76
GF_plate1_COL_3&4_N2,m702m77
GF_plate1_COL_3&4_O2,m702m88
GF_plate1_COL_3&4_P2,m702m89
GF_plate1_COL_3&4_A3,m703m4
GF_plate1_COL_3&4_B3,m703m5
GF_plate1_COL_3&4_C3,m703m16
GF_plate1_COL_3&4_D3,m703m17
GF_plate1_COL_3&4_E3,m703m28
GF_plate1_COL_3&4_F3,m703m29
GF_plate1_COL_3&4_G3,m703m40
